num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/weights_seq_no,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/env_step_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_return_mean,env_runners/env_reset_timer,env_runners/num_env_steps_sampled,env_runners/env_to_module_sum_episodes_length_in,env_runners/sample,env_runners/episode_len_max,env_runners/episode_len_min,env_runners/rlmodule_inference_timer,env_runners/episode_duration_sec_mean,env_runners/episode_len_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled/default_policy,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/module_episode_return_mean/default_policy,env_runners/num_agent_steps_sampled/default_agent,env_runners/agent_episode_return_mean/default_agent,learners/default_policy/module_train_batch_size_mean,learners/default_policy/num_trainable_parameters,learners/default_policy/curr_kl_coeff,learners/default_policy/entropy,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/vf_loss,learners/default_policy/total_loss,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/mean_kl_loss,learners/default_policy/weights_seq_no,learners/default_policy/curr_entropy_coeff,learners/default_policy/vf_explained_var,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/num_module_steps_trained,learners/default_policy/vf_loss_unclipped,learners/default_policy/policy_loss,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad
1,4000.0,False,1,4d567_00000,2025-12-15_18-54-42,1765805082,12.08617901802063,12.08617901802063,27696,LAPTOP-HQRQ0VAR,127.0.0.1,12.08617901802063,1,12.072015100000499,1.8700000509852543e-05,12.071403800000553,1.7320521000001463,10.3331148999996,0.004655400000046939,0.0,12.0,12.0,4636.306892391425,-2450.1090004410407,0.00010360163676037009,152.13872414454093,1136.6308875407838,0.00038655000025755726,4000.0,152.13872414454093,1.6431249250001656,371,286,0.00019050733422287965,0.5127958250000878,318.1666666666667,4000.0,583.4342205382771,4,0,0,31.772222222222222,87.1888888888889,0.0002687292451953098,0.0006951028948188109,4000.0,4000.0,4000.0,1136.6308875407838,4000.0,1136.6308875407838,128.0,138756,0.20000000298023224,1.0802547,0.1873298,5e-05,9.976216,9.862015,120576,0.0076893554,1.0,0.0,-0.0004837513,1.0,120576,41841.773,-0.115740076,13641.970715414322,3783072,4000,120576,0,120576,3783072,4016,138756,428036.7096382301,13640.14785646545,13639.956997868814,0.30938659999992524,3.0100791218070883e-06,5.095261848723256e-05,2.7426062685155225e-05,3.891750372592579e-06,1.2095256900183481e-05,4.431925067419277e-05,2.781890781953406e-06,0.00026595338930154085,7.701703943500715e-05,2.8540323001437487e-05,4.808118506935752e-05,0.04665560000012192,0.0002533000006224029,0.16007880000051955,8.400000297115184e-06,0.0009529999997539562,0.00634989999980462,0.09426600000006147,2.7799999770650174e-05
1,8000.0,False,2,4d567_00000,2025-12-15_18-54-53,1765805093,10.47548532485962,22.56166434288025,27696,LAPTOP-HQRQ0VAR,127.0.0.1,22.56166434288025,2,12.055962800000497,1.8886000507336576e-05,12.055343396000543,1.732401347000141,10.316702220999606,0.004653519000048618,1.0,12.0,24.0,4636.306892391425,-2450.1090004410407,0.00011215799370546851,126.5221920395519,668.7170197948252,0.00038655000025755726,4000.0,126.5221920395519,1.6433915167501616,371,274,0.00020528120484016488,0.5126297583334463,315.8333333333333,8000.0,578.7764042896608,4,0,0,28.266666666666666,85.84666666666666,0.0002870911944420595,0.0007305992904556626,4000.0,8000.0,8000.0,668.7170197948252,4000.0,668.7170197948252,128.0,138756,0.20000000298023224,1.070978,0.5780369,5e-05,9.905646,10.068895,241152,0.006359526,2.0,0.0,0.00040721893,1.0,120576,42608.06,0.16197719,13748.609553437349,7566144,4000.0,241152,0,120576,3783072,4016.0,138756,431407.1166728811,13747.098820375488,13747.233075281243,0.30889779099991754,3.2187710479066887e-06,5.55619020020772e-05,2.9125576866960846e-05,4.378881134026667e-06,1.2477016129505015e-05,4.570158416774138e-05,2.974328121034283e-06,0.00028149698757538465,7.964898081047326e-05,3.1487035990333576e-05,5.094447117002962e-05,0.04641251500012004,0.00025294200061580345,0.15948591300050793,8.423000290349591e-06,0.0009464739997565629,0.006330649999808884,0.09464190000006055,2.7881999776582234e-05
1,12000.0,False,3,4d567_00000,2025-12-15_18-55-05,1765805105,12.043061017990112,34.60472536087036,27696,LAPTOP-HQRQ0VAR,127.0.0.1,34.60472536087036,3,12.055722206000494,1.888414049826679e-05,12.055100137040533,1.732762167530141,10.316110421789613,0.0046401468100463715,2.0,11.0,35.0,2602.610624669802,-2109.9518910380566,0.0001031537421430032,158.93925367976814,179.9756301703566,0.00038655000025755726,4000.0,158.93925367976814,1.6439380150826584,408,274,0.00019051563750891386,0.5433150190001379,329.34,12000.0,570.6805274527959,4,0,0,26.129411764705882,86.92941176470586,0.00026305808832844237,0.0006876766946102701,4000.0,12000.0,12000.0,179.9756301703566,4000.0,179.9756301703566,128.0,138756,0.20000000298023224,1.0532295,0.16081616,5e-05,10.0,10.144753,361728,0.015089033,3.0,0.0,-0.0010787249,1.0,120576,40228.184,0.14173639,13769.971778856341,11348274,4000.0,361728,0,120576,3782130,4015.9900000000002,138756,432022.46953166794,13767.994750653334,13767.917946668174,0.3096734360899178,2.983398619051016e-06,5.050966861133381e-05,2.6305907729208056e-05,3.856823516662918e-06,1.1360335887065489e-05,4.395678009171785e-05,2.812591840714829e-06,0.00026293615635544245,7.504026686397548e-05,2.777018362254645e-05,4.833763764196706e-05,0.0462107648501209,0.00025345358060958466,0.15888837187050256,8.421770282802755e-06,0.0009387872597642852,0.006338225499810778,0.09621914000005853,2.7955179785203657e-05
1,16000.0,False,4,4d567_00000,2025-12-15_18-55-17,1765805117,12.036173105239868,46.64089846611023,27696,LAPTOP-HQRQ0VAR,127.0.0.1,46.64089846611023,4,12.055479207940492,1.900529909818579e-05,12.054852853670123,1.7325461708548373,10.316089770571713,0.004630313341950899,3.0,13.0,48.0,2602.610624669802,-2109.9518910380566,0.00010381774194757396,135.09896920102483,465.1590244179897,0.00038655000025755726,4000.0,135.09896920102483,1.6436407386818301,408,256,0.0001920070968956259,0.5321604800000569,326.05,16000.0,559.8950798145765,4,0,0,25.41111111111111,88.43888888888888,0.00026864197441551607,0.0006836315949345714,4000.0,16000.0,16000.0,465.1590244179897,4000.0,465.1590244179897,128.0,138756,0.20000000298023224,1.0168107,0.42402288,5e-05,9.906547,9.813074,482304,0.013101573,4.0,0.0,-0.00075626373,1.0,120576,46398.523,-0.096093155,13699.92834871778,15132288,4000.0,482304,0,120576,3784014,4016.0001,138756,429815.07305124943,13698.121541818944,13697.997491090997,0.3089321247290177,3.0018175771007087e-06,5.174625834712745e-05,2.690022309450171e-05,3.846421994042862e-06,1.1758022581262882e-05,4.305655630306964e-05,2.766570398002798e-06,0.00026130510408168775,7.481732995710786e-05,2.845500734792546e-05,4.7576232954823956e-05,0.04590958020161369,0.00025355504481184025,0.15856115715180252,8.417552579772747e-06,0.000931113387166635,0.0063377782448089575,0.09611800760006597,2.7937627990555486e-05
1,20000.0,False,5,4d567_00000,2025-12-15_18-55-30,1765805130,12.443007230758667,59.0839056968689,27696,LAPTOP-HQRQ0VAR,127.0.0.1,59.0839056968689,5,12.059168951861093,1.8991246101302604e-05,12.058537795133422,1.7319799571462966,10.320304206865995,0.0046543692085325794,4.0,12.0,60.0,2570.3127559058266,-2157.588744046753,0.00010041688066986888,134.39938821410763,494.80371376398966,0.00038655000025755726,4000.0,134.39938821410763,1.6430554367950125,416,256,0.00018501691719876453,0.5057182109999485,320.46,20000.0,547.125620057427,4,0,0,27.905882352941177,87.93529411764705,0.0002519173126687314,0.0006581029005157926,4000.0,20000.0,20000.0,494.80371376398966,4000.0,494.80371376398966,128.0,138756,0.10000000149011612,0.9851007,0.41672918,5e-05,9.829308,9.936357,602880,0.0034637102,5.0,0.0,-0.00040984154,1.0,120576,39174.812,0.10635815,13578.461224197032,18915360,4000.0,602880,0,120576,3783072,4016.000099,138756,425990.5982069338,13576.616565752222,13576.283876889014,0.3076762644817332,3.05253644169913e-06,4.936544188894427e-05,2.576696135918205e-05,3.7256365281341572e-06,1.1182641933953187e-05,4.15284466781503e-05,2.6398107619097126e-06,0.0002564834614779307,7.197316455773549e-05,2.6922311536178278e-05,4.566894351777381e-05,0.04561050139959588,0.00025280249436160764,0.1577716465802899,8.423377057158397e-06,0.000924077253292067,0.0063172234623642765,0.09598248552405961,2.7923251709412435e-05
1,24000.0,False,6,4d567_00000,2025-12-15_18-55-42,1765805142,11.98025369644165,71.06415939331055,27696,LAPTOP-HQRQ0VAR,127.0.0.1,71.06415939331055,6,12.058261093342484,1.91593336377941e-05,12.057623309182091,1.7315317475748344,10.319839079797333,0.004648958516451519,5.0,11.0,71.0,2430.3808065574503,-2157.588744046753,9.752163448645032e-05,211.02492144132435,118.92772376601116,0.00038655000025755726,4000.0,211.02492144132435,1.6426244431770594,437,256,0.0001794580455609694,0.5451071369998499,346.79,24000.0,532.9098423192527,4,0,0,28.06666666666667,88.23333333333333,0.00024940213570940305,0.0006447264698937617,4000.0,24000.0,24000.0,118.92772376601116,4000.0,118.92772376601116,128.0,138756,0.10000000149011612,0.9555461,0.18038057,5e-05,9.842996,9.805729,723456,0.012741407,6.0,0.0,-0.00027143955,1.0,120576,32216.008,-0.03854098,13587.331013334106,22697490,4000.0,723456,0,120576,3782130,4015.99009801,138756,426263.0183393641,13585.533040901859,13585.013279572775,0.3075462608369126,2.786031240372553e-06,4.760539772158689e-05,2.5383225593214947e-05,3.604218533228752e-06,1.115468164966471e-05,4.0680100289442085e-05,2.653389767302748e-06,0.00024530397754327635,7.192874647279042e-05,2.6584985413406013e-05,4.437140469999652e-05,0.045397077385599637,0.0002548824694172714,0.15725357911448587,8.529143287243979e-06,0.0009181374807561554,0.006352666227737787,0.09655056566882166,2.8158019195340684e-05
1,28000.0,False,7,4d567_00000,2025-12-15_18-55-54,1765805154,11.936974048614502,83.00113344192505,27696,LAPTOP-HQRQ0VAR,127.0.0.1,83.00113344192505,7,12.056915683409064,1.9267740293837523e-05,12.056273245090273,1.7324263910990885,10.317606068999359,0.0046383899312857834,6.0,8.0,79.0,2430.3808065574503,-1923.0565941389686,0.00011036028796299514,256.8708739187386,93.60299576551974,0.00038655000025755726,4000.0,256.8708739187386,1.6432424192452881,533,279,0.00020697902547560916,0.6301582519998555,392.36,28000.0,517.7289813403386,4,0,0,24.77058823529412,87.23529411764706,0.00028231367365232616,0.0007260355826085602,4000.0,28000.0,28000.0,93.60299576551974,4000.0,93.60299576551974,128.0,138756,0.10000000149011612,0.9376751,0.21227185,5e-05,9.873441,9.917763,843904,0.0110401,7.0,0.0,-0.00033187866,1.0,120448,32112.355,0.043217957,13629.305680276802,26472782,4000.0,843904,0,120448,3775292,4015.9501970298998,138756,427564.01570982655,13627.544396765232,13627.124652602877,0.3063220482285432,3.1454017093897636e-06,5.4396993936187876e-05,2.9023882415958005e-05,4.079398923251035e-06,1.2347517849175029e-05,4.507075943102669e-05,2.9499670224365148e-06,0.00028012286093229746,8.011616665004339e-05,2.9437433142854943e-05,5.078268412746202e-05,0.04508707961173837,0.0002543026447275634,0.15651233432334508,8.510851855225561e-06,0.0009108701059526291,0.006330002565455124,0.09641139201213034,2.81254389985522e-05
1,32000.0,False,8,4d567_00000,2025-12-15_18-56-06,1765805166,11.86091685295105,94.8620502948761,27696,LAPTOP-HQRQ0VAR,127.0.0.1,94.8620502948761,8,12.054876513574976,1.928906289240521e-05,12.054232396639362,1.7327204231880982,10.315281993309364,0.004627333031977979,7.0,6.0,85.0,2430.3808065574503,-2289.3662496756215,0.00010431456561007801,342.8354776847956,-48.97403758809436,0.00038655000025755726,4000.0,342.8354776847956,1.6437978035528358,589,281,0.00019155386171787784,0.7138250179998522,435.91,32000.0,501.95292908702635,4,0,0,25.982352941176465,88.0235294117647,0.0002697308826915139,0.0006837469816813042,4000.0,32000.0,32000.0,-48.97403758809436,4000.0,-48.97403758809436,128.0,138756,0.10000000149011612,0.96557343,0.22063595,5e-05,9.9278345,10.007417,964224,0.012919772,8.0,0.0,0.00020217896,1.0,120320,35937.12,0.078290306,13756.231119975879,30242182,4000.0,964224,0,120320,3769400,4015.8906950596006,138756,431510.63752955006,13754.331482067688,13753.926712495613,0.30797739974625027,3.0676635889441456e-06,5.118299876735879e-05,2.7491541440067075e-05,3.925812843392825e-06,1.1766715673304892e-05,4.250746742262478e-05,2.8353741130833324e-06,0.00026095558986063435,7.461743322050836e-05,2.8205915964037147e-05,4.816757844675655e-05,0.04482894981562174,0.000253210618278557,0.1560037019801201,8.555743335208218e-06,0.0009034414048979561,0.00630684853980176,0.09886840409201195,2.817518460966366e-05
1,36000.0,False,9,4d567_00000,2025-12-15_18-56-18,1765805178,11.867046594619751,106.72909688949585,27696,LAPTOP-HQRQ0VAR,127.0.0.1,106.72909688949585,9,12.052856516439233,1.9314172268160354e-05,12.052205117672973,1.7329662559562191,10.31296810337627,0.004656556701656194,8.0,8.0,93.0,2533.3781208698965,-2289.3662496756215,0.00011133749692550108,265.7065880440071,374.15285617743893,0.00038655000025755726,4000.0,265.7065880440071,1.6441274007673081,640,306,0.0002057392743192285,0.8100609470000018,491.14,36000.0,485.86881974322245,4,0,0,26.758823529411767,88.48823529411764,0.00029390815775644187,0.0007379068308657155,4000.0,36000.0,36000.0,374.15285617743893,4000.0,374.15285617743893,128.0,138756,0.10000000149011612,0.9872902,0.33131868,5e-05,9.87808,9.929943,1084672,0.008149152,9.0,0.0,0.0012059212,1.0,120448,40821.2,0.051046394,13759.497875899546,34017474,4000.0,1084672,0,120448,3775292,4015.8517881090042,138756,431624.6346776908,13757.954192597339,13757.761263536617,0.3069654027487807,3.274134010351212e-06,5.5535615213836536e-05,2.9335277379478794e-05,4.1265764647286954e-06,1.220276241119142e-05,4.622085773923616e-05,3.035976718721755e-06,0.00027880665706937177,8.021373601276648e-05,3.080692576172856e-05,5.223981841922548e-05,0.044555846317462275,0.0002521235121029234,0.15538343696032042,8.542185904402838e-06,0.0008960679908455787,0.006283451054407834,0.09878539705109247,2.813343276296108e-05
1,40000.0,False,10,4d567_00000,2025-12-15_18-56-31,1765805191,13.069580793380737,119.79867768287659,27696,LAPTOP-HQRQ0VAR,127.0.0.1,119.79867768287659,10,12.06281895327484,1.9321030540426325e-05,12.062162829496247,1.733953357396658,10.321894962342501,0.0046836911346331824,9.0,8.0,101.0,2758.2232157615,-2289.3662496756215,0.00013064729968416356,243.35237651868778,406.423440516239,0.00038655000025755726,4000.0,243.35237651868778,1.6452803072596376,640,393,0.00025237549734574363,0.8584846799998741,520.43,40000.0,469.6864036576046,4,0,0,30.310526315789474,90.33684210526317,0.000323218321371136,0.000833575585163654,4000.0,40000.0,40000.0,406.423440516239,4000.0,406.423440516239,128.0,138756,0.10000000149011612,0.9971336,0.317038,5e-05,9.782084,9.758312,1205120,0.0055662617,10.0,0.0,-0.00072157383,1.0,120448,31061.31,-0.024328785,13683.864399637272,37792766,4000.0,1205120,0,120448,3775292,4015.813270227914,138756,429193.4828029032,13682.230983685942,13681.456761771487,0.30627068172129385,3.628958440390734e-06,6.632071646939223e-05,3.3843218878104336e-05,5.871591033166227e-06,1.5015719588724205e-05,5.277626900906496e-05,3.577190286809318e-06,0.00032880324934407253,9.575171226937121e-05,3.390127275207964e-05,5.757032183759477e-05,0.044306027854286854,0.00025129727698273063,0.15491463859071214,9.455764039767031e-06,0.0008896923109391228,0.006261327543865221,0.09883627708058493,2.8272098441092283e-05
