num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_min,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/sample,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_return_min,env_runners/episode_len_mean,env_runners/episode_duration_sec_mean,env_runners/env_step_timer,env_runners/env_reset_timer,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/rlmodule_inference_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_return_max,env_runners/weights_seq_no,env_runners/num_episodes,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/default_agent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/agent_episode_return_mean/default_agent,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/module_episode_return_mean/default_policy,env_runners/num_module_steps_sampled/default_policy,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/total_loss,learners/default_policy/weights_seq_no,learners/default_policy/curr_entropy_coeff,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/vf_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/entropy,learners/default_policy/policy_loss,learners/default_policy/vf_loss_unclipped,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/mean_kl_loss,learners/default_policy/vf_explained_var,learners/default_policy/curr_kl_coeff,learners/default_policy/num_trainable_parameters,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/module_train_batch_size_mean,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor
1,4000.0,False,1,f34df_00000,2025-12-16_12-31-13,1765868473,18.644495010375977,18.644495010375977,26188,LAPTOP-HQRQ0VAR,127.0.0.1,18.644495010375977,1,18.62889610000093,2.8399999791872688e-05,18.628070499999012,13.136634700000286,5.4788554000006116,0.010533299999224255,261,4000.0,4000.0,3.2053871499992965,126.26770552947673,-507.99570395643457,283.8333333333333,0.8959463916662571,0.000411047370754863,0.00033372500001860317,320,12.0,0.0003436258458176549,126.26770552947673,23.342716745198643,0.0,12.0,-83.15916017505796,155.23160832686082,4,0,0,56.148148148148145,88.57407407407408,0.0013252137277579938,4000.0,0.0005129041746324347,4000.0,-83.15916017505796,4000.0,-83.15916017505796,4000.0,4000,138756,4016,1261024,1261024,40192,0,40192,259682.56209700313,8272.094634427269,8271.516260559176,4.080877,1.0,0.0,1.0,8.139676,40192,1.0838698,0.008860629,5793.5186,5e-05,40192,0.0108911125,0.0014681816,0.20000000298023224,138756,0.312518,128.0,8273.148210424886,0.4847530999995797,0.00014772878742211264,5.6180078883828486e-05,8.385687002960361e-05,0.0005044716272166944,9.21903115311842e-05,5.199858566003769e-06,6.88111126439147e-06,2.1772845509551723e-05,5.358256085276346e-05,0.00010094940613573916,5.833463488528955e-06,0.011177299998962553,4.5700000555370934e-05,5.439999949885532e-05,0.21052049999889277,0.09231749999889871,0.00044770000022253953,0.16853660000015225,0.00036100000033911783
1,8000.0,False,2,f34df_00000,2025-12-16_12-31-37,1765868497,23.941323041915894,42.58581805229187,26188,LAPTOP-HQRQ0VAR,127.0.0.1,42.58581805229187,2,18.68188386300093,2.847899979315116e-05,18.68105369999901,13.188977757000284,5.479489371000618,0.010536354999239847,233,4000.0,8000.0,3.2176985722493012,137.8954944880193,-507.99570395643457,276.24,1.0410756933330898,0.0004910396765850966,0.00033372500001860317,320,27.0,0.0005968195095325423,137.8954944880193,23.342716745198643,1.0,15.0,-43.287991997840635,154.25439514888876,4,0,0,82.33235294117648,91.43823529411765,0.0015498193396210292,4000.0,0.0006053660866540535,8000.0,-43.287991997840635,8000.0,-43.287991997840635,4000.0,4000.0,138756,4016.03,1261966,2522990,40192,0,80384,259504.93016683735,8266.613729673061,8265.967814884625,3.7496514,2.0,0.0,1.0,7.408348,40192,1.0906469,0.044812996,104.351715,5e-05,80384,0.0033252775,-0.0031654835,0.10000000149011612,138756,0.4231681,128.0,8267.863142895865,0.4849970329995813,0.000185025515351806,6.276245266074657e-05,9.607863494348035e-05,0.0006228577529433297,0.00010619574026625342,5.695168738150912e-06,7.711780287748193e-06,2.523291293749627e-05,6.09483970074172e-05,0.00012263794095409382,5.939748985670482e-06,0.01117925399898013,4.5542000552813985e-05,5.454199948871974e-05,0.21078691899889238,0.09168941999891103,0.0004531680002219218,0.1691370620001362,0.0003598570003487111
1,12000.0,False,3,f34df_00000,2025-12-16_12-31-52,1765868512,14.123637676239014,56.709455728530884,26188,LAPTOP-HQRQ0VAR,127.0.0.1,56.709455728530884,3,18.636192975370918,2.854220978933881e-05,18.635363772999018,13.169104874430278,5.453729515290614,0.010485257449253913,228,4000.0,12000.0,3.213011505276806,147.92682966331196,-29.900464792810713,277.23,0.9928959959998429,0.00033141338787709803,0.00033372500001860317,314,41.0,0.00030120396209510394,147.92682966331196,27.153334540762124,2.0,14.0,-3.400336198348786,152.49336344309313,4,0,0,65.73333333333333,92.93809523809523,0.001069000886948972,4000.0,0.00040617099040395,12000.0,-3.400336198348786,12000.0,-3.400336198348786,4000.0,4000.0,138756,4016.0497,1261652,3784642,40192,0,120576,270880.44812039344,8629.139105745233,8628.51486340478,3.98514,3.0,0.0,1.0,8.140091,40192,1.0713645,-0.08659402,139.04025,5e-05,120576,0.01688488,0.0034860969,0.10000000149011612,138756,0.37003914,128.0,8630.360627843002,0.48244159366959233,0.00011878370432647065,4.3989444838918144e-05,6.589235803655128e-05,0.0004298671553649581,7.29607792571685e-05,4.265290972129895e-06,5.5469877630625095e-06,1.7350806404210458e-05,4.225415773408199e-05,8.613522311043497e-05,4.4796507457318255e-06,0.011135704458977307,4.5175580551949674e-05,5.434657950318069e-05,0.20981172380890387,0.09096905079891403,0.00045179932022092537,0.16833266938013347,0.00035799243034289246
1,16000.0,False,4,f34df_00000,2025-12-16_12-32-01,1765868521,9.191051006317139,65.90050673484802,26188,LAPTOP-HQRQ0VAR,127.0.0.1,65.90050673484802,4,18.54163786561721,2.845678770458289e-05,18.54081063826904,13.101579566685972,5.426758470137707,0.010434574874746253,228,4000.0,16000.0,3.196553253974041,159.36514669756056,-29.900464792810713,292.09,0.639636755000065,0.00019104702506188252,0.00033372500001860317,344,54.0,0.00016605396885151403,159.36514669756056,27.153334540762124,3.0,13.0,-0.8653274234587982,150.5989328172659,4,0,0,63.08461538461539,92.97692307692309,0.0006236738661197527,4000.0,0.00023760147823829677,16000.0,-0.8653274234587982,16000.0,-0.8653274234587982,4000.0,4000.0,138756,4016.0592030000003,1261338,5045980,40192,0,160768,282244.3263978443,8991.359638024438,8990.773517047888,3.5365884,4.0,0.0,1.0,6.914687,40192,1.0733683,0.07836742,66.76605,5e-05,160768,0.008777053,-0.0008057356,0.10000000149011612,138756,0.4384596,128.0,8992.511674724461,0.47973126673290245,6.856800180127346e-05,2.5886638802653585e-05,3.9656587333011546e-05,0.0002442535214406009,4.3218243517356066e-05,2.4503597866885034e-06,3.2834065131853922e-06,1.034786940366615e-05,2.4367564176994756e-05,4.9565809510433964e-05,2.5852560375322337e-06,0.011079400414383938,4.484882475236736e-05,5.4168113704385175e-05,0.2087326685708106,0.09020672429092891,0.00045024232700976237,0.1675302766863292,0.00035661950603718836
1,20000.0,False,5,f34df_00000,2025-12-16_12-32-10,1765868530,8.893993854522705,74.79450058937073,26188,LAPTOP-HQRQ0VAR,127.0.0.1,74.79450058937073,5,18.44507510096104,2.8359219832635586e-05,18.444249856886355,13.033767477019115,5.398076818436332,0.0103725341260051,269,4000.0,20000.0,3.1800692761843,164.06550075879807,-29.900464792810713,329.98,0.5498094979999223,0.00017957883578719228,0.00033372500001860317,406,65.0,0.00015553357005960845,164.06550075879807,36.62352581624425,4.0,11.0,3.9104714362912443,148.74629286251195,4,0,0,58.80769230769231,92.85384615384615,0.0006026794073736477,4000.0,0.00023111504231435528,20000.0,3.9104714362912443,20000.0,3.9104714362912443,4000.0,4000.0,138756,4016.0486109700005,1260710,6306690,40192,0,200960,297150.6499065283,9466.160410841074,9465.828840255468,3.8801644,5.0,0.0,1.0,7.49929,40192,1.0502678,0.12924531,84.67103,5e-05,200960,0.012744556,0.0017457008,0.10000000149011612,138756,0.46646082,128.0,9467.064702916738,0.47707552906557854,6.665910005535726e-05,2.5488192769708125e-05,3.849919344649744e-05,0.00023159681523899983,4.168883802282829e-05,2.3906567216757407e-06,3.2474162290006246e-06,9.786188297494807e-06,2.4174313878294147e-05,4.5960534608021054e-05,2.5988493895968884e-06,0.011009559410247094,4.453233650951264e-05,5.403743256823633e-05,0.20778889688510124,0.08941129004801539,0.000447614903737773,0.16669587391946877,0.00035475731096432886
1,24000.0,False,6,f34df_00000,2025-12-16_12-32-18,1765868538,8.477049350738525,83.27154994010925,26188,LAPTOP-HQRQ0VAR,127.0.0.1,83.27154994010925,6,18.345297474951423,2.8256627630100583e-05,18.34447332531749,12.96231995924893,5.369804761251975,0.010320210784735098,270,4000.0,24000.0,3.1626343194224567,262.1087777126595,-20.120141873650585,365.52,0.5458724419998907,0.00018049094229739216,0.00033372500001860317,450,74.0,0.00015535993119544626,262.1087777126595,36.62352581624425,5.0,9.0,3.594868631429636,147.00764431317157,4,0,0,54.23333333333333,90.44166666666665,0.0006087256173658874,4000.0,0.00023577763308638172,24000.0,3.594868631429636,24000.0,3.594868631429636,4000.0,4000.0,138756,4016.0181248603008,1260082,7566772,40192,0,241152,309945.8223510053,9875.028509191121,9874.687009456757,3.8962936,6.0,0.0,1.0,7.8211427,40192,1.0429996,-0.017483762,8386.624,5e-05,241152,0.03206202,0.00012677908,0.15000000596046448,138756,0.80365,128.0,9875.923174667474,0.47443360477491364,6.793679902568936e-05,2.571140856703835e-05,3.848959737420283e-05,0.0002302758601738328,4.238771418658723e-05,2.359678707092466e-06,3.1152243660022793e-06,9.927558565588507e-06,2.4387312870776384e-05,4.577480745171828e-05,2.5861362812197486e-06,0.01097483381613964,4.41870131418913e-05,5.385505824005848e-05,0.20682922091625905,0.08863828014753655,0.00044491775469510797,0.1658343231802706,0.00035289873785530976
1,28000.0,False,7,f34df_00000,2025-12-16_12-32-27,1765868547,8.500291347503662,91.77184128761292,26188,LAPTOP-HQRQ0VAR,127.0.0.1,91.77184128761292,7,18.246773620201907,2.8202061361864132e-05,18.245951274064314,12.89211031165643,5.341562557639462,0.010259210676891927,252,4000.0,28000.0,3.1454968524782343,153.1877694518101,-508.90792845442274,348.28,0.4944246509998266,0.0001804154226578472,0.00033372500001860317,457,89.0,0.00015057051332283255,153.1877694518101,31.847108263813087,6.0,15.0,-20.12746481121159,145.38015329473217,4,0,0,56.21666666666666,90.25833333333333,0.0005964241912107141,4000.0,0.0002284089037784561,28000.0,-20.12746481121159,28000.0,-20.12746481121159,4000.0,4000.0,138756,4016.047943611698,1261966,8828738,40192,0,281344,322175.3182084328,10264.481427845441,10264.117289171218,3.9026806,7.0,0.0,1.0,7.7287273,40192,1.0515528,0.036732327,82.13647,5e-05,281344,0.010561352,0.008158207,0.15000000596046448,138756,0.4518561,128.0,10265.375563440832,0.47180078372717954,6.764779517596647e-05,2.526367218436073e-05,3.7758302913977864e-05,0.00022573653048860943,4.131238995765337e-05,2.2952180633003118e-06,3.1608061478238715e-06,9.853109107580621e-06,2.4194374627733534e-05,4.475141887008479e-05,2.52120923337837e-06,0.01093333247797749,4.382514301936535e-05,5.358950766276666e-05,0.20570290370710162,0.08795134334606718,0.0004433615771489245,0.16506485794847311,0.0003521157504859672
1,32000.0,False,8,f34df_00000,2025-12-16_12-32-36,1765868556,8.70343542098999,100.4752767086029,26188,LAPTOP-HQRQ0VAR,127.0.0.1,100.4752767086029,8,18.151263798999892,2.811604074911488e-05,18.150444084323677,12.821912439539869,5.316309887063075,0.010207354570134974,252,4000.0,32000.0,3.1283531384534595,200.84861032245962,-508.90792845442274,328.78,0.46244996300010827,0.0001856302430826218,0.00033372500001860317,457,99.0,0.0001581652709279606,200.84861032245962,45.75542302693678,7.0,10.0,-0.14243970047071045,143.85543398570363,4,0,0,55.199999999999996,90.42307692307692,0.0006156713484120088,4000.0,0.00023794923037240694,32000.0,-0.14243970047071045,32000.0,-0.14243970047071045,4000.0,4000.0,138756,4016.027464175581,1260396,10089134,40192,0,321536,333936.6619400966,10640.206626578725,10639.75372306377,4.492376,8.0,0.0,1.0,8.803757,40192,0.9961392,0.088684306,238.02411,5e-05,321536,0.01208874,0.00014442205,0.15000000596046448,138756,0.38366383,128.0,10641.11746703735,0.47083069788991005,6.748173039294086e-05,2.6094924894859686e-05,4.019923195200749e-05,0.0002331462012538138,4.272316055636218e-05,2.4312439754724695e-06,3.153118409324725e-06,9.943765486538004e-06,2.498052515660938e-05,4.662260387566719e-05,2.6439110090555148e-06,0.010864529153203389,4.3474891586221035e-05,5.3295612591667094e-05,0.2047882646700351,0.08731132391262235,0.00044075896138611375,0.1657300973689821,0.0003503045929779271
1,36000.0,False,9,f34df_00000,2025-12-16_12-32-44,1765868564,8.591809749603271,109.06708645820618,26188,LAPTOP-HQRQ0VAR,127.0.0.1,109.06708645820618,9,18.055581329009886,2.7977880357292535e-05,18.05476390048044,12.75238503314448,5.290214578192446,0.010154745024436978,270,4000.0,36000.0,3.1114300228189222,185.6951028199099,-503.82390887773386,357.93,0.505268893000084,0.00017380338403546488,0.00033372500001860317,486,109.0,0.00015140112898749894,185.6951028199099,50.8485567404372,8.0,10.0,-12.239920478649024,142.3971560187279,4,0,0,55.783333333333324,90.76666666666665,0.0005927318544059517,4000.0,0.0002292459004931405,36000.0,-12.239920478649024,36000.0,-12.239920478649024,4000.0,4000.0,138756,4016.007189533825,1260396,11349530,40192,0,361728,343736.1458614692,10953.577000038857,10952.992712980636,4.1502867,9.0,0.0,1.0,8.323193,40192,1.0319349,-0.012644205,18426.537,5e-05,361728,0.008902234,0.000109255314,0.15000000596046448,138756,0.44057682,128.0,10954.533327411507,0.46869624891100703,6.59019798136605e-05,2.5127415961524826e-05,3.78501474339643e-05,0.00022393727224359334,4.167062898295465e-05,2.3220149906937614e-06,3.0223492082631296e-06,9.797461467403836e-06,2.402939646464893e-05,4.530006162419535e-05,2.503602434366047e-06,0.010814629861666508,4.313914267840801e-05,5.311065645986959e-05,0.20381447902333535,0.08675971667349634,0.00043885737177297413,0.1651792973953052,0.00035020754704432336
1,40000.0,False,10,f34df_00000,2025-12-16_12-32-53,1765868573,8.497666358947754,117.56475281715393,26188,LAPTOP-HQRQ0VAR,127.0.0.1,117.56475281715393,10,17.959927364719785,2.7864101544432926e-05,17.95911160647564,12.683646846813023,5.263364953410522,0.010098986574188756,284,4000.0,40000.0,3.0946664883407293,168.29464815030119,-507.8113698648115,367.22,0.5186099569998623,0.0001906799480622069,0.00033372500001860317,486,122.0,0.00015866092925873677,168.29464815030119,50.8485567404372,9.0,13.0,-51.147848116451144,141.0207479171737,4,0,0,55.291666666666664,91.10833333333333,0.0006217629784650309,4000.0,0.00023936081812941874,40000.0,-51.147848116451144,40000.0,-51.147848116451144,4000.0,4000.0,138756,4016.017117638487,1261338,12610868,40192,0,401920,353376.9831563236,11261.239979143606,11260.519915882458,3.9794931,10.0,0.0,1.0,7.9138923,40192,1.0004811,0.019599242,22025.205,5e-05,401920,0.019653922,-3.695488e-06,0.15000000596046448,138756,0.51684463,128.0,11262.053468792845,0.4662062004218934,6.855097188459704e-05,2.6658664043063393e-05,3.981473209512279e-05,0.00023516778506326973,4.364580851826553e-05,2.465714194068704e-06,3.1634475066983683e-06,1.0012049487347707e-05,2.4938412407092286e-05,4.67197927412206e-05,2.5748603903481816e-06,0.01076930256304506,4.281375125840489e-05,5.2899549912652865e-05,0.20289460723309477,0.08612285850676009,0.00043791379805734683,0.16430136642135762,0.00034872947156058457
